tick;name;2024;2023;2022;2021;2020;2019;2018;2017;2016
FLWS.OQ;1-800-Flowers.Com Inc;11.19577878;47.80262981;49.39305046;10.99199493;11.01980511;11.78772744;10.00065035;6.213360428;
TXG.OQ;10X Genomics Inc;7.851009027;7.715737429;14.67941762;17.39477776;;;;;
SRCE.OQ;1st Source Corp;10.7720945;7.500246514;6.200863118;1.322010547;1.578674188;1.644836654;1.466090029;1.495760424;
TSVT.OQ;2Seventy Bio Inc;6.122661092;;;;;;;;
DDD.N;3D Systems Corp;4.964397962;4.403554681;4.777115821;10.38495156;8.403943878;5.698772155;5.742828063;9.681408948;
MMM.N;3M Co;70.70028339;84.28793664;111.8568233;126.0268857;146.1925835;125.0908172;137.5004152;124.5292991;
ETNB.OQ;89Bio Inc;;;;;;;;;
EGHT.OQ;8x8 Inc;0.110692986;0.137466179;0.132244528;7.29808999;5.329462453;4.750498717;5.529432801;;
MASS.OQ;908 Devices Inc.;4.285988914;4.712160887;5.160514359;;;;;;
AOS.N;A O Smith Corp;17.8004209;22.00053463;22.00053463;22.00053463;20.7663352;22.10197884;37.29854385;24.36563349;
AMRK.OQ;A-Mark Precious Metals Inc;8.685463486;7.753186892;5.485180337;11.7169256;19.97052419;49.6570703;57.88946006;;
ATEN.N;A10 Networks Inc;1.042843721;1.293037035;1.778324974;2.196640189;2.380968596;2.209815294;2.463923103;;
AAON.OQ;Aaon Inc;8.042048853;8.093201875;8.147399322;17.35988982;20.32780007;22.31561072;25.38988671;25.43465902;30.47350822
AIR.N;AAR Corp;11.05350414;11.9532967;15.22181202;12.37837838;40.30140319;41.02423443;46.67933832;46.65887432;
ABT.N;Abbott Laboratories;12.1412045;12.1412045;12.44341265;14.41863153;16.95712136;17.49623913;19.71522453;25.2721431;24.84685126
ABBV.N;AbbVie Inc;5.90152272;6.547573714;5.780957995;9.451722479;9.586908069;10.39378367;11.59977377;13.89054639;
ANF.N;Abercrombie & Fitch Co;2.17585397;2.595285328;1.884588028;2.478464236;2.524415279;2.439625579;1.673070583;1.012545305;
ABM.N;ABM Industries Inc;5.38569928;5.859904312;6.151483065;7.090154803;7.114495048;7.220368197;9.258079188;9.659234758;
ABSI.OQ;Absci Corp;6.122661092;6.572253236;;;;;;;
ACTG.OQ;Acacia Research Corp;21.73412149;23.25667077;24.30132419;24.61851059;25.0600592;18.17198026;;;
ASO.OQ;Academy Sports and Outdoors Inc;1.255106576;7.860155951;;;;;;;
ACHC.OQ;Acadia Healthcare Company Inc;11.32642906;12.1199096;12.37863881;16.66871387;17.78812044;13.37361982;13.62771101;6.212374687;
ACAD.OQ;ACADIA Pharmaceuticals Inc;17.02441279;18.66134693;18.90457006;18.64322798;19.19073478;19.90230017;20.02097431;19.3946612;
AKR.N;Acadia Realty Trust;3.309939011;0.49573158;0.438383617;0.27088617;7.818931619;10.0029418;12.4679113;14.00996334;
ACEL.N;Accel Entertainment Inc;8.77534496;7.705371281;8.407392479;5.583939345;;;;;
ACN.N;Accenture PLC;0.34374381;0.289052721;0.394234308;0.386574421;0.488345751;0.541147322;0.666033831;0.781747946;0.798737964
ACCO.N;ACCO Brands Corp;4.214743285;17.32857485;1.987894086;1.987894086;1.987894086;1.987894086;47.98751949;33.32695791;32.52317154
ACCD.OQ;Accolade Inc;10.43836575;10.82218228;11.58031303;;;;;;
ARAY.OQ;Accuray Inc;6.68042415;7.684663668;8.73973095;9.485926423;10.05167842;11.20660218;12.93462127;;
SLRN.OQ;ACELYRIN Inc;;;;;;;;;
ACIW.OQ;ACI Worldwide Inc;0.472178072;0.820869453;0.950488373;0.917801744;1.149123173;0.78678904;1.415377018;4.633717029;
ACMR.OQ;ACM Research Inc;14.4132925;11.06739652;10.71842528;10.50479812;14.42393692;21.55963883;;;
ACNB.O;ACNB Corp;7.81797607;6.68911404;5.545056862;1.346047059;1.51168323;1.589549027;1.460338183;;
AYI.N;Acuity Brands Inc;8.80749962;8.568682759;11.17327362;12.11766828;11.66444305;16.76198052;17.16489404;17.49101729;17.66627663
GOLF.N;Acushnet Holdings Corp;11.7341502;6.983289672;5.416592343;6.432150539;5.623825396;6.161670082;;;
ACVA.OQ;ACV Auctions Inc;20.88867542;;;;;;;;
AHCO.OQ;Adapthealth Corp;9.475963958;9.601862263;9.327112288;9.397759499;;;;;
ADPT.OQ;Adaptive Biotechnologies Corp;6.122661092;6.572253236;14.67941762;17.39477776;19.19073478;;;;
ADCT.N;ADC Therapeutics SA;6.572253236;;;;;;;;
ADUS.OQ;Addus Homecare Corp;12.11988865;12.66429517;12.82959243;13.09690823;7.180717888;13.36237921;13.76426017;;
ADEA.OQ;Adeia Inc;3.480720439;4.377022231;2.232423347;12.43051195;19.9398381;2.990458918;3.181907386;;
ADNT.N;Adient PLC;4.265995453;5.073719992;5.391739766;5.650986582;4.189761588;4.663054074;3.562881638;10.55028678;
ADMA.O;ADMA Biologics Inc;7.740206874;7.632748334;14.67941866;17.39477953;19.19073478;19.90230017;;;
ADBE.OQ;Adobe Inc;0.37305464;0.37305464;0.311878366;0.764843021;1.057710667;1.34208076;1.555980582;1.892925528;2.292143632
ADT.N;ADT Inc;22.48482585;16.17433971;15.51960646;16.05908199;3.242586979;3.651284122;;;
ATGE.N;Adtalem Global Education Inc;8.622826269;8.927389151;6.302525291;5.372920564;7.569602794;8.40141772;10.56111908;8.295342557;7.727016423
ADTN.OQ;ADTRAN Holdings Inc;10.09923066;11.11960261;11.42555184;11.4393045;13.27609369;9.22628011;;;
AAP.N;Advance Auto Parts Inc;15.52323236;17.84869976;15.60092936;18.5213662;19.72245029;15.62051112;15.06760515;15.86545729;
WMS.N;Advanced Drainage Systems Inc;;23.49859335;28.35966952;37.03638326;43.17169563;55.67427078;61.01835993;41.3205778;47.56040715
AEIS.OQ;Advanced Energy Industries Inc;0.841542847;0.594714544;0.59471291;1.934246617;2.48161059;1.642235906;1.465727765;1.465727765;
AFCG.OQ;Advanced Flower Capital Inc;0.382032842;0.545575194;6.344447942;;;;;;
AMD.OQ;Advanced Micro Devices Inc;0.345112495;0.394730437;0.656765339;0.473926608;0.432741313;0.775937559;0.60252809;16.48258582;
ASIX.N;AdvanSix Inc;1053.595732;1291.675917;1740.313857;2020.877252;1887.250908;1966.797893;2190.629664;;
ADV.OQ;Advantage Solutions Inc;6.719619216;7.190343898;7.513327118;;;;;;
ACM.N;AECOM;1.513361013;1.513363046;1.475838212;1.748436556;1.422981156;1.990524538;1.492080744;3.022032302;7.645743051
AEHR.OQ;Aehr Test Systems;3.480720439;;;;;;;;
AVTE.OQ;Aerovate Therapeutics Inc;;;;;;;;;
AVAV.OQ;AeroVironment Inc;9.373944512;9.876178636;10.36987906;10.13583725;9.573068609;9.189528166;12.21631452;11.97146474;
ASLE.OQ;AerSale Corp;11.16507333;11.94722477;11.61863118;;;;;;
AES.N;AES Corp;3171.236427;3653.428687;4447.321946;4818.155756;5044.146982;6127.774169;6835.18967;6095.387922;
AMG.N;Affiliated Managers Group Inc;0.257984203;0.121455812;0.13810111;0.092467405;0.116523713;0.141436009;0.760557751;0.813182197;
AFRM.OQ;Affirm Holdings Inc;;;;;;;;;
AFL.N;Aflac Inc;0.134838941;0.092108831;0.094504899;0.181305399;0.146526856;0.186048655;0.221181874;0.149774078;
AGCO.N;AGCO Corp;6.372259197;5.237962705;5.410778495;2.654456168;3.849443969;3.732017095;32.55593782;35.27896906;
AGEN.OQ;Agenus Inc;6.122661092;6.572253236;14.67941762;17.39477776;19.19070921;19.90225375;;;
A.N;Agilent Technologies Inc;1.713346963;1.81152081;2.04158082;1.780360256;1.52991453;1.832513417;1.865778201;1.867013373;
AGL.N;agilon health inc;0.884900123;4.127828099;;;;;;;
AGYS.OQ;Agilysys Inc;1.830879107;2.151220452;2.815290693;1.682516209;0.756118516;0.698962654;;;
AGIO.OQ;Agios Pharmaceuticals Inc;6.122661092;;;18.64322798;19.19073478;19.90230017;20.02097431;19.3946612;
AGNC.OQ;AGNC Investment Corp;;0.015506997;0.003330487;0.0028933;5.152161401;4.555577545;4.436207379;4.456824725;
ADC.N;Agree Realty Corp;3.667463982;3.924382332;4.100659474;4.154182212;8.368734358;8.686578154;8.709480569;;
AL.N;Air Lease Corp;2.1434428;2.125560839;26.61253654;32.13287011;31.58084903;28.70912543;27.1512068;27.15523141;
APD.N;Air Products and Chemicals Inc;1322.980486;1433.691756;1696.492102;1861.216069;1847.662986;1905.32024;2038.994096;1827.639533;
ATSG.OQ;Air Transport Services Group Inc;665.3221359;780.8224722;838.233423;878.5290351;40.30140319;41.02423443;40.54466602;38.3031784;
ABNB.OQ;Airbnb Inc;0.396264187;0.696610559;0.697524413;;;;;;
AKAM.OQ;Akamai Technologies Inc;0.023225754;0.021258697;0.027786609;0.038700316;0.053189417;0.065102224;0.078514683;0.284132281;
AKBA.OQ;Akebia Therapeutics Inc;17.03128114;18.66134693;18.90457006;18.64322798;19.19073478;19.54615479;20.02097431;;
AKRO.OQ;Akero Therapeutics Inc;;;;;;;;;
ALG.N;Alamo Group Inc;17.60151161;18.46172295;30.81396448;24.89147898;13.03924329;14.81133965;15.3999517;;
ALRM.O;Alarm.com Holdings Inc;1.029807969;1.042843721;1.293037035;1.778324974;2.196640189;2.438242891;2.242055907;2.661795479;3.035755517
ALK.N;Alaska Air Group Inc;718.6968692;718.6968692;961.2143782;1162.41447;905.4549596;937.9549855;949.2740056;858.5817722;862.8068953
AIN.N;Albany International Corp;18.39517035;18.52950555;21.91791141;22.34707587;34.06318214;36.67657814;39.93545651;43.20862377;48.1034966
ALB.N;Albemarle Corp;84.37535006;181.8306109;186.8913414;169.0264212;170.3728944;288.2789461;288.2789461;372.4144514;
ACI.N;Albertsons Companies Inc;32.18696273;34.60876097;39.70963002;;;;;;
AA.N;Alcoa Corp;1349.289214;1431.863068;1992.246392;1696.539826;1305.677833;1414.590457;1886.741575;;
ALDX.OQ;Aldeyra Therapeutics Inc;;;;;;;;;
ALEC.OQ;Alector Inc;6.122661092;6.572253236;14.67941762;17.39477776;19.19073478;;;;
